WHO_code,WHO_label,PCU_code,PCU_label,THCC_distance,PCU_distance,specific,values
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",A00.0,"Cholera due to Vibrio cholerae, biovar cholerae",0,3,0,Cholera due to Vibrio cholerae
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",A00.0,"Cholera due to Vibrio cholerae, biovar cholerae",0,3,-1, 01
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",A00.0,"Cholera due to Vibrio cholerae, biovar cholerae",0,3,0,", biovar cholerae"
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",A00.1,"Cholera due to Vibrio cholerae, biovar eltor",0,3,0,Cholera due to Vibrio cholerae
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",A00.1,"Cholera due to Vibrio cholerae, biovar eltor",0,3,-1, 01
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",A00.1,"Cholera due to Vibrio cholerae, biovar eltor",0,3,0,", biovar eltor"
A00.9,"Cholera, unspecified",A00.9,Cholera unspecified,0,1,0,Cholera
A00.9,"Cholera, unspecified",A00.9,Cholera unspecified,0,1,-1,","
A00.9,"Cholera, unspecified",A00.9,Cholera unspecified,0,1,0, unspecified
A01.0,Typhoid fever,A01.0,Typhoid fever,0,0,0,Typhoid fever
A01.1,Paratyphoid fever A,A01.1,Paratyphoid fever A,0,0,0,Paratyphoid fever A
A01.2,Paratyphoid fever B,A01.2,Paratyphoid fever B,0,0,0,Paratyphoid fever B
A01.3,Paratyphoid fever C,A01.3,Paratyphoid fever C,0,0,0,Paratyphoid fever C
A01.4,"Paratyphoid fever, unspecified",A01.4,Paratyphoid fever unspecified,0,1,0,Paratyphoid fever
A01.4,"Paratyphoid fever, unspecified",A01.4,Paratyphoid fever unspecified,0,1,-1,","
A01.4,"Paratyphoid fever, unspecified",A01.4,Paratyphoid fever unspecified,0,1,0, unspecified
A02.0,Salmonella enteritis,A02.0,Salmonella enteritis,0,0,0,Salmonella enteritis
A02.1,Salmonella sepsis,A02.1,Salmonella septicaemia,0,7,0,Salmonella sep
A02.1,Salmonella sepsis,A02.1,Salmonella septicaemia,0,7,-1,sis
A02.1,Salmonella sepsis,A02.1,Salmonella septicaemia,0,7,1,ticaemia
A02.2,Localized salmonella infections,A02.2,Localized salmonella infections,0,0,0,Localized salmonella infections
A02.8,Other specified salmonella infections,A02.8,Other specified salmonella infections,0,0,0,Other specified salmonella infections
A02.9,"Salmonella infection, unspecified",A02.9,Salmonella infection unspecified,0,1,0,Salmonella infection
A02.9,"Salmonella infection, unspecified",A02.9,Salmonella infection unspecified,0,1,-1,","
